new_screening_id,previous_screening_id,match_method,manual_level3_decision,new_title,previous_title,year,doi
NS1918,NS1417,doi,OUT,Intelligent monitoring method for variable working conditions in intelligent manufacturing systems under digital twin,Intelligent monitoring method for variable working conditions in intelligent manufacturing systems under digital twin,2025,10.1504/IJETP.2025.149452
NS1920,NS1927,doi,OUT,Advanced hybrid technologies for industrial net zero,Advanced hybrid technologies for industrial net zero,2025,10.1016/B978-0-443-36426-6.00016-2
NS1921,NS1929,doi,OUT,Digital Twin Modeling for the Conveyor Logistics System in the Semi-Finished Product Area of a Cigarette Factory,Digital Twin Modeling for the Conveyor Logistics System in the Semi-Finished Product Area of a Cigarette Factory,2025,10.1109/AMMCS65761.2025.11459917
NS1922,NS1930,doi,OUT,Optimization of the Wooden Barrel Production Process,Optimization of the Wooden Barrel Production Process,2025,10.1016/j.procs.2025.12.056
NS1924,NS1931,doi,OUT,Digital Twin and Metaverse Technologies for Sustainable Manufacturing Operations,Digital Twin and Metaverse Technologies for Sustainable Manufacturing Operations,2025,10.1016/j.procs.2025.12.044
NS1932,NS1940,doi,OUT,Augmented Reality-Enhanced Digital Twin and Image Processing Framework for Automated Quality Inspection in Industry 4.0,Augmented Reality-Enhanced Digital Twin and Image Processing Framework for Automated Quality Inspection in Industry 4.0,2025,10.1109/ICUIS67429.2025.11380208
NS1933,NS1941,doi,OUT,Digital Twins for Optimizing the Transition from Job-Shop to Mass Production: Insights from Marine Pump Manufacturing in Scandinavia,Digital Twins for Optimizing the Transition from Job-Shop to Mass Production: Insights from Marine Pump Manufacturing in Scandinavia,2025,10.1109/WSC68292.2025.11338892
NS1935,NS1435,doi,OUT,Context-Aware Network Resource Allocation for Industry 5.0 Applications,Context-Aware Network Resource Allocation for Industry 5.0 Applications,2025,10.1109/ITNAC66378.2025.11302594
NS1937,NS1945,doi,OUT,Sustainability Management In Fibre-Based Web Production: Tracking And Optimising CO2 Emissions With Digital Twin And Data Ecosystem,Sustainability Management In Fibre-Based Web Production: Tracking And Optimising CO2 Emissions With Digital Twin And Data Ecosystem,2025,10.15488/18870
NS1939,NS1437,doi,OUT,AR/VR Digital Twin for Simulation and Data Collection of Robotic Environments,AR/VR Digital Twin for Simulation and Data Collection of Robotic Environments,2025,10.1109/ICARSC65809.2025.10970158
NS1941,NS1948,doi,OUT,A Digital Twin-Empowered Framework for Interactive Consumers in Manufacturing Using Wearable Device,A Digital Twin-Empowered Framework for Interactive Consumers in Manufacturing Using Wearable Device,2025,10.1109/ACCESS.2025.3598864
NS1942,NS1949,doi,OUT,The Design and Experimental Study of a Megawatt-Scale Alkaline Electrolysis Hydrogen Production Digital Twin,The Design and Experimental Study of a Megawatt-Scale Alkaline Electrolysis Hydrogen Production Digital Twin,2025,10.1109/NET-LC65482.2025.11071064
NS1943,NS1440,doi,OUT,"AI-Enhanced Process Digital Twins for Circular Manufacturing: Design, Architecture, and Deployment","AI-Enhanced Process Digital Twins for Circular Manufacturing: Design, Architecture, and Deployment",2025,10.1109/DCOSS-IoT65416.2025.00165
NS1948,NS1954,doi,OUT,A methodology for information modelling and analysis of manufacturing processes for digital twins,A methodology for information modelling and analysis of manufacturing processes for digital twins,2024,10.1016/j.rcim.2024.102813
NS1951,NS1956,doi,OUT,AI-Driven Predictive Maintenance for Industrial Robotics Using IoT Sensor Fusion,AI-Driven Predictive Maintenance for Industrial Robotics Using IoT Sensor Fusion,2025,10.1109/ICRTEECT67512.2025.11448955
NS1952,NS1957,doi,IN,Hierarchical Bayesian Model Updating of a 6 MW Offshore Wind Turbine Accounting for Variable Environmental and Operational Conditions,Hierarchical Bayesian Model Updating of a 6 MW Offshore Wind Turbine Accounting for Variable Environmental and Operational Conditions,2025,10.1007/978-3-031-96106-9_99
NS1953,NS1958,doi,OUT,Development of Interoperability in Industrial Internet of Things (IIoT) Ecosystems: Integrating DevOps and Digital Twins to Platform Integration and Ensure Seamless Device,Development of Interoperability in Industrial Internet of Things (IIoT) Ecosystems: Integrating DevOps and Digital Twins to Platform Integration and Ensure Seamless Device,2025,10.1109/INCSST64791.2025.11210416
NS1954,NS1959,doi,OUT,Global initiatives for industry 4.0 implementation and progress within the textile and apparel manufacturing sector: a comprehensive review,Global initiatives for industry 4.0 implementation and progress within the textile and apparel manufacturing sector: a comprehensive review,2025,10.1080/0951192X.2025.2455655
NS1956,NS1961,doi,OUT,Digital Twin-Driven Optimization of Water Production in Gathering Centers: A Koc North Kuwait Case Study,Digital Twin-Driven Optimization of Water Production in Gathering Centers: A Koc North Kuwait Case Study,2025,10.2118/229284-MS
NS1957,NS1962,doi,OUT,Design and Implementation of an Immersive Web-Based Digital Twin Steam Turbine System for Industrial Training,Design and Implementation of an Immersive Web-Based Digital Twin Steam Turbine System for Industrial Training,2024,10.3390/info15120800
NS1958,NS1459,doi,OUT,A Model-Based Approach to Automated Digital Twin Generation in Manufacturing,A Model-Based Approach to Automated Digital Twin Generation in Manufacturing,2025,10.1109/SEEDA-CECNSM68644.2025.11330130
NS1960,NS1461,doi,OUT,Digital Twins for predictive maintenance of Production and Machines: A Comprehensive Review,Digital Twins for predictive maintenance of Production and Machines: A Comprehensive Review,2025,10.1109/ICCIST67338.2025.11438591
NS1964,NS1967,doi,OUT,The Design and Implementation of an Intelligent Carbon Data Management Platform for Digital Twin Industrial Parks,The Design and Implementation of an Intelligent Carbon Data Management Platform for Digital Twin Industrial Parks,2024,10.3390/en17235972
NS1966,NS1466,doi,OUT,Advancing Flow Meter Technology with a Comprehensive Review of Digital Twin Developments for Transmitters,Advancing Flow Meter Technology with a Comprehensive Review of Digital Twin Developments for Transmitters,2025,10.1109/ICCSPCI68199.2025.11451444
NS1971,NS1973,doi,OUT,The Conference on Learning Factories: A Keywords Analysis,The Conference on Learning Factories: A Keywords Analysis,2025,10.1007/978-3-031-98883-7_11
NS1974,NS1976,doi,OUT,Enhancing internal supply chain management in manufacturing through a simulation-based digital twin platform,Enhancing internal supply chain management in manufacturing through a simulation-based digital twin platform,2024,10.1016/j.cie.2024.110670
NS1975,NS1977,doi,OUT,A Digital Twin application for an assembly/disassembly flexible robotic cell assisted by ABB IRB 120 robotic manipulator generating the optimal trajectory for the smallest errors using RobotStudio,A Digital Twin application for an assembly/disassembly flexible robotic cell assisted by ABB IRB 120 robotic manipulator generating the optimal trajectory for the smallest errors using RobotStudio,2025,10.1109/ACDSA65407.2025.11166380
NS1976,NS1978,doi,OUT,"IoT-Cloud, VPN, and Digital Twin-Based Remote Monitoring and Control of a Multifunctional Robotic Cell in the Context of AI, Industry, and Education 4.0 and 5.0","IoT-Cloud, VPN, and Digital Twin-Based Remote Monitoring and Control of a Multifunctional Robotic Cell in the Context of AI, Industry, and Education 4.0 and 5.0",2024,10.3390/s24237451
NS1977,NS1479,doi,OUT,Digital Twins & Industry 5.0 On Food Management,Digital Twins & Industry 5.0 On Food Management,2025,10.1007/978-3-031-76758-6_7
NS1979,NS1979,doi,OUT,Smart Packaging Optimization Using Digital Twins and Industrial 5.0 With Human Robot Interaction,Smart Packaging Optimization Using Digital Twins and Industrial 5.0 With Human Robot Interaction,2025,10.1115/IMECE2025-165682
NS1980,NS1980,doi,OUT,Digital Twin Method for Lifetime Prediction of Critical Components in Drip Irrigation Tape Production Line,Digital Twin Method for Lifetime Prediction of Critical Components in Drip Irrigation Tape Production Line,2025,10.13031/aim.202500842
